Point No.	Shear Rate	Shear Stress	Viscosity	Torque	Status	Temperature
[1]	[1/s]	[Pa]	[mPa·s]	[mN·m]		[°C]
2	1	0.71258	712.59	0.011917	Dy_auto	25.36
3	1	0.68393	683.94	0.011438	Dy_auto	30.65
4	1	0.63192	631.93	0.010568	Dy_auto	35.93
5	1	0.57131	571.32	0.0095547	Dy_auto	41.24
6	1	0.49318	493.19	0.008248	Dy_auto	46.56
7	1	0.40722	407.22	0.0068104	Dy_auto	51.87
8	1	0.33152	331.53	0.0055444	Dy_auto	57.19
9	1	0.26666	266.67	0.0044597	Dy_auto	62.49
10	1	0.20762	207.63	0.0034723	Dy_auto	67.82
11	1	0.16321	163.21	0.0027296	Dy_auto	73.14
12	1	0.13443	134.43	0.0022482	Dy_auto	78.47
13	1	0.11057	110.57	0.0018492	Dy_auto	83.8
14	1	0.087934	87.935	0.0014706	Dy_auto	89.13
15	1	0.073521	73.522	0.0012296	Dy_auto	94.44